x,y,z,d,N,Mr,Hc,Hcr
44,40,40,7,10,0.49000222,0.0479000000000001,0.0572710315927437
44,40,40,10,10,0.49008475,0.0417,0.05216482148017
44,40,40,15,10,0.49179009,0.0347,0.0421819034721383
44,40,40,20,10,0.49890017,0.0286,0.0371556758660244
44,40,40,30,10,0.50650036,0.0212,0.0304732235000472
44,40,40,50,10,0.48441044,0.012,0.0219996704354119
44,40,40,70,10,0.67273475,0.00839999999999996,0.0197617898374343
44,40,40,100,10,0.779917700000001,0.00689999999999996,0.0170990535918003
48,40,40,0,1,0.72832782,0.00580000000000003,0.0219278198449404
48,40,40,1,10,0.49046946,0.0711,0.0809947672356063
48,40,40,2,10,0.49023884,0.0673,0.0775219285236819
48,40,40,3,10,0.49022882,0.0646,0.0772566524336047
48,40,40,5,10,0.4900357,0.06,0.0722193096318771
48,40,40,7,10,0.48989091,0.0548,0.0672030684276053
48,40,40,10,10,0.48976996,0.0497,0.0582511181085867
48,40,40,15,10,0.48948432,0.0403,0.0505443114511117
48,40,40,20,10,0.48942425,0.0361,0.0422879962910796
48,40,40,30,10,0.49224525,0.0275,0.037110421097663
48,40,40,50,10,0.50421186,0.0173,0.0271262981477546
48,40,40,70,10,0.52314975,0.0122,0.0221997361499512
48,40,40,100,10,0.59476271,0.00889999999999996,0.0220455774628417
50,50,50,1,10,0.4899181,0.0546,0.0640049523787332
50,50,50,2,10,0.48982071,0.0525,0.0622506973084202
50,50,50,3,10,0.48983098,0.0493,0.0589739606518505
50,50,50,5,10,0.489673,0.0441,0.0539674253205449
50,50,50,7,10,0.49052272,0.0405,0.0487163539911796
50,50,50,10,1,0.85841432,0.00930000000000003,0.0120452374608689
50,50,50,10,2,0.38537005,0.0126,0.0151242533080097
50,50,50,10,3,0.55384395,0.0206,0.0236175595438904
50,50,50,10,4,0.50276045,0.0253,0.0320432421647002
50,50,50,10,5,0.50993318,0.0267,0.0320031736050941
50,50,50,10,6,0.50151002,0.0324,0.0377457120934099
50,50,50,10,7,0.49914457,0.0312,NaN
50,50,50,10,8,0.49773483,0.0337,0.0414225373751171
50,50,50,10,9,0.49662343,0.0326,0.0420353818256901
50,50,50,10,10,0.49562171,0.0344,0.0421564281737907
50,50,50,10,11,0.49498532,0.034,0.0421074166961796
50,50,50,10,12,0.49455713,0.0351,0.0421791324998929
50,50,50,10,13,0.49367871,0.0352,0.0421610070919109
50,50,50,10,14,0.49344305,0.0354,0.0422077551415284
50,50,50,10,15,0.49277602,0.0354,0.0422050228998319
50,50,50,10,16,0.49291641,0.0355,0.042254115059999
50,50,50,10,17,0.49302137,0.0356,0.0422068293009286
50,50,50,10,18,0.4923465,0.0357,0.042253368050524
50,50,50,10,19,0.49268416,0.0357,0.0422700298633082
50,50,50,10,20,0.49266711,0.0358,0.0422779059754846
50,50,50,10,21,0.492087,0.0358,0.0413026958701692
50,50,50,10,22,0.49163491,0.0359,0.0422688006295162
50,50,50,10,23,0.49161278,0.0359,0.0412832857316123
50,50,50,10,24,0.49185056,0.0359,0.040779704417772
50,50,50,10,25,0.49180138,0.0359,0.0407752875909657
50,50,50,10,26,0.49106996,0.036,0.0409128919761502
50,50,50,10,27,0.49139062,0.0361,0.0409240092664622
50,50,50,10,28,0.49163764,0.0362,0.0410544881613
50,50,50,10,29,0.49163804,0.0361,0.0409280223970377
50,50,50,10,30,0.49143985,0.0362,0.0413048556204919
50,50,50,15,10,0.50846511,0.0276,0.03217517970873
50,50,50,20,10,0.50390209,0.0235,0.0270976867031223
50,50,50,30,10,0.4769183,0.0169,0.0219926197549751
50,50,50,40,10,0.44539952,0.0131,0.0169638174946244
50,50,50,50,10,0.42681229,0.0112,0.0167671614679971
50,50,50,70,10,0.77830478,0.00889999999999996,0.012144800169269
50,50,50,100,10,0.84235785,0.00900000000000001,0.0121845646302007
52,40,40,0,1,0.51127997,0.0132,0.0270135799812199
52,40,40,1,10,0.4902258,0.0766,0.087414027849003
52,40,40,2,10,0.49025766,0.0743,0.0856871677860672
52,40,40,3,10,0.49018781,0.0709,0.0816044442130848
52,40,40,5,10,0.49002105,0.0657,0.0759338182126044
52,40,40,7,10,0.48983135,0.0613,0.071026958039161
52,40,40,10,10,0.48956016,0.0569,0.0672434802814369
52,40,40,15,10,0.48909417,0.0492,0.0572855540355172
52,40,40,20,10,0.48890802,0.0443,0.0513807184008016
